Date: Time,TimeSinceLoad(s),PPID,TimeStamp (Shimmer),Start,End,Peaks Number,Average Peak Amplitude,Mean,Median,Min Value,Max Value,Max Absolute Amplitude,Variance,Standard Deviation,Absolute Deviation,Kurtosis,Skewness,FP2 Theta,FP2 Alpha-Low,FP2 Alpha-High,FP2 Beta,FP2 Gamma,F4 Theta,F4 Alpha-Low,F4 Alpha-High,F4 Beta,F4 Gamma,F8 Theta,F8 Alpha-Low,F8 Alpha-High,F8 Beta,F8 Gamma,C4 Theta,C4 Alpha-Low,C4 Alpha-High,C4 Beta,C4 Gamma,P7 Theta,P7 Alpha-Low,P7 Alpha-High,P7 Beta,P7 Gamma,P4 Theta,P4 Alpha-Low,P4 Alpha-High,P4 Beta,P4 Gamma,P8 Theta,P8 Alpha-Low,P8 Alpha-High,P8 Beta,P8 Gamma,O2 Theta,O2 Alpha-Low,O2 Alpha-High,O2 Beta,O2 Gamma,FP1 Theta,FP1 Alpha-Low,FP1 Alpha-High,FP1 Beta,FP1 Gamma,Fz Theta,Fz Alpha-Low,Fz Alpha-High,Fz Beta,Fz Gamma,F3 Theta,F3 Alpha-Low,F3 Alpha-High,F3 Beta,F3 Gamma,F7 Theta,F7 Alpha-Low,F7 Alpha-High,F7 Beta,F7 Gamma,Cz Theta,Cz Alpha-Low,Cz Alpha-High,Cz Beta,Cz Gamma,O1 Theta,O1 Alpha-Low,O1 Alpha-High,O1 Beta,O1 Gamma,Pz Theta,Pz Alpha-Low,Pz Alpha-High,Pz Beta,Pz Gamma,P3 Theta,P3 Alpha-Low,P3 Alpha-High,P3 Beta,P3 Gamma,Mean PLF,Onsets,Average Heart Rate,Mean,Median,Min Value,Max Value,Max Absolute Amplitude,Variance,Standard Deviation,Absolute Deviation,Kurtosis,Skewness,BPM,IBI,SDNN,SDSD,RMSSD,PNN20,PNN50,HR_Mad,Breathing Rate,LF,HF,LF/HF,Past_experience,Label
0:26/12/2019 12:07:08.011,122.7626, 5A,504895.8962,0,639,96,0.651041667,3721.926563,3721,3716,3732,10.0734375,13.67378472,3.697808097,2.8328125,0.02766771,0.828414499,0.017574851,0.023171583,0.01634326,0.003084073,0.000318811,0.011107793,0.014099783,0.010315191,0.001926849,0.000270516,0.013787164,0.016651691,0.012226506,0.002380916,0.000432248,0.00248776,0.003205654,0.00257562,0.000783517,0.000264033,0.010414298,0.011198002,0.007206114,0.002443957,0.000594186,0.007601389,0.011506441,0.007551738,0.001589039,0.000212445,0.018286076,0.033250206,0.019324545,0.003778742,0.000672378,0.013899496,0.022910962,0.015462103,0.002328064,0.000439877,0.01908874,0.02455325,0.01706135,0.002714644,0.000350125,0.010241112,0.016273757,0.012362842,0.001719749,0.000148584,0.010822417,0.016957247,0.012250441,0.001773614,0.000197294,0.015406482,0.020545441,0.014024017,0.002313845,0.000516447,0.001741758,0.002749498,0.00220395,0.000355509,3.39E-05,0.013200241,0.016042039,0.013360453,0.003690113,0.001891402,0.002013405,0.002718099,0.001881883,0.000333153,6.15E-05,0.002789733,0.002805502,0.003278907,0.001092798,0.000298583,0.878982938,72,91.41463723,1402.721975,1386.080566,1293.772949,1709.890137,307.1681621,3876.98995,62.2654796,44.47487318,2.462981097,1.458221364,87.64621969,684.5703125,118.4569373,95.7991025,134.0392873,0.727272727,0.454545455,58.59375,0.365385786,6998.925157,108210.7787,0.064678632,0,4
0:26/12/2019 12:07:10.507,125.2588, 5A,504898.3997,320,959,91,0.642857143,3713.279688,3717,3696,3724,17.2796875,67.31601868,8.204633976,7.0359375,-1.142185295,-0.512392056,0.004783646,0.004684558,0.003548372,0.001282483,0.000306168,0.002094711,0.002492699,0.002122929,0.00083141,0.000238835,0.005147706,0.004467037,0.003436469,0.001129713,0.000413886,0.000878051,0.001546473,0.001624063,0.000822385,0.000211908,0.002151836,0.002828246,0.002546176,0.001338252,0.000526522,0.000629961,0.000838823,0.000897721,0.000318239,8.88E-05,0.001762088,0.002326986,0.002160769,0.000990374,0.000494139,0.002315031,0.002524381,0.002191753,0.001010825,0.000345915,0.004910576,0.006177116,0.004735956,0.00144962,0.000398118,0.001540101,0.002249695,0.002085819,0.00067048,0.000115708,0.002123838,0.002972782,0.002540189,0.000840592,0.000171355,0.006290553,0.005750779,0.003858631,0.001306148,0.000409132,0.00020937,0.000318487,0.000302602,0.000119541,3.19E-05,0.002179424,0.002837858,0.003858801,0.003308317,0.002158287,0.000208216,0.000326587,0.000290165,0.000128893,4.57E-05,0.000735535,0.001240291,0.001231298,0.000505144,0.000211266,0.907572829,72,91.41463723,1402.721975,1386.080566,1293.772949,1709.890137,307.1681621,3876.98995,62.2654796,44.47487318,2.462981097,1.458221364,87.64621969,684.5703125,118.4569373,95.7991025,134.0392873,0.727272727,0.454545455,58.59375,0.365385786,6998.925157,108210.7787,0.064678632,0,4
0:26/12/2019 12:07:13.008,127.7605, 5A,504900.8964,640,1279,103,0.650485437,3697.007813,3697,3677,3718,20.9921875,118.223726,10.87307344,9.2890625,-1.091852141,2.00E-05,0.004178073,0.00404601,0.003752593,0.001266735,0.000400974,0.002378339,0.002660713,0.00219438,0.000857423,0.00025828,0.006135481,0.005062099,0.003859482,0.001292319,0.000504699,0.001213395,0.002025261,0.001853191,0.000956644,0.000197234,0.001954337,0.002633524,0.00253009,0.001366594,0.000903112,0.000629167,0.001385925,0.002268454,0.000674672,9.13E-05,0.002026741,0.003109383,0.004874366,0.001758107,0.000670374,0.002030223,0.003210941,0.005182038,0.001690806,0.000365019,0.002121953,0.00418799,0.004291896,0.001297826,0.00041569,0.001607105,0.002421437,0.002319537,0.000718568,0.000161885,0.001702128,0.002893914,0.002672579,0.000758404,0.000219151,0.004693819,0.005339916,0.00412748,0.001240623,0.000453511,0.000268601,0.00031603,0.000325805,0.00013153,3.69E-05,0.002085848,0.003492197,0.005025234,0.003596907,0.003512619,0.000275612,0.00037794,0.000408415,0.000136763,5.14E-05,0.000945663,0.001381986,0.001300746,0.000536993,0.000353607,0.911841308,72,91.41463723,1402.721975,1386.080566,1293.772949,1709.890137,307.1681621,3876.98995,62.2654796,44.47487318,2.462981097,1.458221364,87.64621969,684.5703125,118.4569373,95.7991025,134.0392873,0.727272727,0.454545455,58.59375,0.365385786,6998.925157,108210.7787,0.064678632,0,4
0:26/12/2019 12:07:15.510,130.2627, 5A,504903.4026,960,1599,101,0.707920792,3680.03125,3679,3665,3699,18.96875,82.90043036,9.104967345,7.75625,-1.134151211,0.276514074,0.003853499,0.003485061,0.002771366,0.001374786,0.000760974,0.001904729,0.002032607,0.001744034,0.00086366,0.000351749,0.005639306,0.005434167,0.003774027,0.00160038,0.000950654,0.000795887,0.001383669,0.001381535,0.000632055,0.000261126,0.002304267,0.002165194,0.002115561,0.00159676,0.001366071,0.00056282,0.00141845,0.002434173,0.000753802,0.000106103,0.003264586,0.004828782,0.00582531,0.003106656,0.002109677,0.00240856,0.00363902,0.005447157,0.001936507,0.000576314,0.002343124,0.003057259,0.002551297,0.001377432,0.000570965,0.001345049,0.00146834,0.001377352,0.000600485,0.00019204,0.001335778,0.001589746,0.00135478,0.000585943,0.000281624,0.003407563,0.003481893,0.002755157,0.001059028,0.000621079,0.000246654,0.000249812,0.000272548,0.000122972,3.84E-05,0.003146479,0.004788517,0.006369889,0.00524912,0.005694753,0.000272924,0.000330926,0.000416137,0.000158328,8.55E-05,0.000831942,0.001128029,0.001038039,0.000658372,0.000752274,0.893158267,72,91.41463723,1402.721975,1386.080566,1293.772949,1709.890137,307.1681621,3876.98995,62.2654796,44.47487318,2.462981097,1.458221364,87.64621969,684.5703125,118.4569373,95.7991025,134.0392873,0.727272727,0.454545455,58.59375,0.365385786,6998.925157,108210.7787,0.064678632,0,4
0:26/12/2019 12:07:18.035,132.7871, 5A,504905.9213,1280,1919,110,0.672727273,3665.985938,3666,3652,3680,14.0140625,56.66177377,7.527401528,6.3765625,-1.132409691,-0.087361876,0.007655833,0.005027252,0.002870957,0.001255766,0.000813174,0.002368172,0.00227152,0.001840179,0.000985403,0.000478836,0.005452271,0.00540039,0.003646349,0.001875385,0.001298235,0.000603684,0.001051749,0.001104717,0.000553637,0.000328276,0.002724058,0.003052703,0.002421183,0.001641413,0.001337332,0.00067885,0.00101534,0.000841354,0.00044476,0.000157339,0.00268816,0.003382082,0.002520892,0.002732584,0.001582524,0.002226306,0.002915599,0.0023275,0.001653246,0.001208889,0.009627633,0.005564871,0.002947498,0.001407901,0.000677818,0.001813502,0.001655505,0.001251128,0.000591065,0.000252718,0.002631371,0.002347576,0.00170698,0.000577254,0.000318314,0.013631065,0.009361255,0.00530896,0.001502491,0.000732519,0.00018939,0.00022638,0.00021122,0.000121916,5.76E-05,0.00362933,0.005298979,0.006312932,0.006713046,0.005794551,0.000258063,0.00030473,0.000286072,0.00020259,0.00010148,0.000799805,0.001310785,0.001129864,0.000741705,0.000706798,0.893527277,72,91.41463723,1402.721975,1386.080566,1293.772949,1709.890137,307.1681621,3876.98995,62.2654796,44.47487318,2.462981097,1.458221364,87.64621969,684.5703125,118.4569373,95.7991025,134.0392873,0.727272727,0.454545455,58.59375,0.365385786,6998.925157,108210.7787,0.064678632,0,4
0:26/12/2019 12:07:20.525,135.278, 5A,504908.4197,1600,2239,107,0.64953271,3654.148438,3653,3643,3668,13.8515625,43.41924638,6.589328219,5.5390625,-1.035971969,0.358464421,0.007712389,0.004961595,0.0039706,0.001463185,0.000559013,0.002656218,0.002172539,0.001666419,0.000997044,0.000471514,0.004509808,0.004591702,0.00321798,0.001693622,0.001303321,0.000838443,0.001174392,0.001362689,0.00108963,0.000438319,0.002180782,0.003092754,0.002730173,0.001646196,0.001121598,0.001102467,0.0012445,0.00119601,0.000529859,0.000299658,0.002312223,0.003273375,0.00269757,0.002540382,0.001758273,0.003142359,0.003749922,0.003678086,0.002689582,0.001891908,0.010692014,0.006779869,0.004356902,0.001817196,0.000606163,0.002019527,0.001940883,0.001701464,0.000842568,0.000277507,0.002467963,0.002691115,0.002137258,0.001015542,0.000364393,0.013266608,0.009037253,0.010045567,0.002270522,0.00068459,0.000194662,0.000223748,0.000246043,0.000189645,7.13E-05,0.003019585,0.005344689,0.007699496,0.008270464,0.00463573,0.000237841,0.000287846,0.000293843,0.000267364,0.000109879,0.000849419,0.001162155,0.001110725,0.000936233,0.00048025,0.871557525,72,91.41463723,1402.721975,1386.080566,1293.772949,1709.890137,307.1681621,3876.98995,62.2654796,44.47487318,2.462981097,1.458221364,87.64621969,684.5703125,118.4569373,95.7991025,134.0392873,0.727272727,0.454545455,58.59375,0.365385786,6998.925157,108210.7787,0.064678632,0,4
0:26/12/2019 12:07:23.005,137.7575, 5A,504910.8957,1920,2559,106,0.688679245,3643.392188,3644,3632,3655,11.6078125,37.95079959,6.16042203,5.2765625,-1.17488475,-0.171063242,0.005501309,0.003559691,0.003051931,0.001560633,0.000437035,0.001922332,0.001457707,0.001279986,0.000811272,0.000383114,0.003695846,0.003219617,0.002848041,0.001345437,0.000874382,0.000947844,0.001695928,0.002509761,0.001484121,0.000429226,0.00220547,0.002698985,0.002404776,0.001917016,0.001046261,0.00089131,0.000893533,0.000925981,0.000431998,0.000403742,0.001655905,0.002434425,0.00255195,0.001933497,0.002918212,0.002838506,0.002885044,0.003032315,0.002230853,0.002433089,0.006920059,0.004171254,0.003208814,0.001744068,0.000501643,0.001337015,0.001173562,0.001348423,0.000793088,0.000217509,0.001756224,0.001929723,0.002126499,0.00116409,0.000361663,0.007989236,0.005527438,0.007402453,0.002146139,0.000663562,0.000261684,0.000242364,0.000269335,0.000166761,5.49E-05,0.002255981,0.003576454,0.005188368,0.005972338,0.003404367,0.00021304,0.000204906,0.000231469,0.000185346,8.97E-05,0.000772023,0.000917389,0.00087749,0.000824261,0.00044797,0.90109266,72,91.41463723,1402.721975,1386.080566,1293.772949,1709.890137,307.1681621,3876.98995,62.2654796,44.47487318,2.462981097,1.458221364,87.64621969,684.5703125,118.4569373,95.7991025,134.0392873,0.727272727,0.454545455,58.59375,0.365385786,6998.925157,108210.7787,0.064678632,0,4
0:26/12/2019 12:07:25.518,140.2701, 5A,504913.4093,2240,2879,102,0.691176471,3635.596875,3634,3630,3646,10.403125,14.4006162,3.794814382,2.934375,-0.303981225,0.870897724,0.010671489,0.005855879,0.00370299,0.002762445,0.001870663,0.004263855,0.003275551,0.002448745,0.001074303,0.001389161,0.013227972,0.010073926,0.005905385,0.0033563,0.005390262,0.001475275,0.00196751,0.002678029,0.001467152,0.00134731,0.006474579,0.007497061,0.005503318,0.003727151,0.004814931,0.000728299,0.00098064,0.0009843,0.000432883,0.000528599,0.008447347,0.008059109,0.008503712,0.019930142,0.036575909,0.001993051,0.002541124,0.002920958,0.002284916,0.00468067,0.008717773,0.004986556,0.003781809,0.002931162,0.00129104,0.00176398,0.001406256,0.001390834,0.00089592,0.000326329,0.001722544,0.001674001,0.002043385,0.001058343,0.0005185,0.011245483,0.008942182,0.00605695,0.003279401,0.001393635,0.000373919,0.000304184,0.000241377,0.000142101,6.73E-05,0.005477305,0.008389731,0.008867435,0.009448687,0.008286354,0.000235196,0.000267638,0.000284081,0.000186045,0.000188045,0.001061333,0.001396035,0.001283813,0.001240953,0.001813438,0.902021167,72,91.41463723,1402.721975,1386.080566,1293.772949,1709.890137,307.1681621,3876.98995,62.2654796,44.47487318,2.462981097,1.458221364,87.64621969,684.5703125,118.4569373,95.7991025,134.0392873,0.727272727,0.454545455,58.59375,0.365385786,6998.925157,108210.7787,0.064678632,1,4
0:26/12/2019 12:07:28.019,142.7705, 5A,504915.9085,2560,3199,100,0.665,3630.83125,3632,3621,3637,9.83125,13.2077856,3.634251725,2.61875,0.155012796,-0.958068088,0.014416546,0.009785107,0.006125469,0.004013628,0.002708392,0.00493612,0.00402905,0.003090638,0.001666466,0.001727502,0.019198818,0.013217118,0.008392202,0.005054909,0.006714788,0.001330733,0.00150269,0.001838157,0.001378178,0.001929784,0.006970758,0.008404173,0.006207392,0.004014621,0.00529131,0.001024737,0.00101329,0.001228583,0.000710054,0.000565514,0.010381057,0.010975378,0.014987818,0.033436489,0.059621625,0.002091869,0.002798296,0.004210816,0.003896906,0.005262492,0.012321247,0.008500964,0.00554936,0.003750303,0.00202858,0.003006409,0.002030892,0.001796452,0.001045382,0.000341296,0.002284442,0.001868068,0.002214102,0.001006318,0.000523993,0.015284255,0.011870769,0.007550133,0.003646951,0.002385936,0.000386143,0.000319629,0.000306879,0.000183298,7.98E-05,0.00644976,0.010528154,0.012840476,0.014028753,0.012169762,0.000238775,0.000288877,0.000358986,0.000287956,0.000260524,0.001245479,0.001533308,0.001368893,0.001671522,0.002411733,0.878205793,72,91.41463723,1402.721975,1386.080566,1293.772949,1709.890137,307.1681621,3876.98995,62.2654796,44.47487318,2.462981097,1.458221364,87.64621969,684.5703125,118.4569373,95.7991025,134.0392873,0.727272727,0.454545455,58.59375,0.365385786,6998.925157,108210.7787,0.064678632,1,4
0:26/12/2019 12:07:30.545,145.2971, 5A,504918.4371,2880,3519,102,0.598039216,3627.998438,3627,3617,3657,29.0015625,71.91392557,8.480207873,6.4265625,1.621384719,1.273674506,0.026810331,0.017660759,0.009033539,0.004161067,0.003499735,0.010695313,0.006137771,0.00350395,0.008213934,0.007300352,0.021470537,0.016048068,0.008500525,0.009695053,0.009162583,0.002221652,0.001824056,0.001866424,0.002069395,0.00414022,0.00357605,0.003373974,0.003085697,0.003568374,0.002964418,0.001328375,0.000778413,0.000813019,0.000939205,0.000645621,0.006063653,0.006824202,0.01203494,0.028239496,0.03889224,0.003237643,0.00227631,0.003598244,0.005136447,0.003948486,0.027968052,0.015887162,0.007037718,0.002825793,0.002153394,0.006494529,0.004473154,0.002473613,0.001115937,0.000574786,0.010455193,0.006144998,0.003404907,0.001702937,0.001816673,0.027699944,0.017094625,0.008278463,0.004479354,0.003307955,0.000632347,0.000513146,0.000399205,0.000214133,0.000128625,0.003687759,0.003944459,0.007780257,0.011923493,0.010936131,0.000418473,0.000379591,0.000339929,0.000299176,0.000265128,0.001521874,0.001533173,0.001046127,0.001710213,0.00184476,0.895716257,72,91.41463723,1402.721975,1386.080566,1293.772949,1709.890137,307.1681621,3876.98995,62.2654796,44.47487318,2.462981097,1.458221364,87.64621969,684.5703125,118.4569373,95.7991025,134.0392873,0.727272727,0.454545455,58.59375,0.365385786,6998.925157,108210.7787,0.064678632,1,4
